tên file,transcript,duration
FPTOpenSpeechData_Set002_V0.1_000083.mp3,Gỏi tỏi miến mít hàu nấm ruốc Nghệ bí đao nhồi yến sào,4.944
FPTOpenSpeechData_Set001_V0.1_005768.mp3,khi kèn hiệu thổi lên -N trọng tài thả dây trước cửa đổ xuống và người chạy xuất phát,4.82498
FPTOpenSpeechData_Set002_V0.1_009671.mp3,"Theo ông Phạm Tài Thu , đàn chim này có hiện tượng bị mất trộm .",4.416
FPTOpenSpeechData_Set002_V0.1_003803.mp3,"Ngân hàng nào cũng có chương trình khuyến mại , tặng quà và ưu đãi hết sức hấp dẫn .",4.896
FPTOpenSpeechData_Set002_V0.1_009390.mp3,"Thầy như người bạn luôn ở bên vỗ về , luôn tận tình dạy bảo chúng em .",5.304
FPTOpenSpeechData_Set002_V0.1_000288.mp3,-N sấm rền om khắp chốn kéo những tia chớp nhằng nhịt -N,6.576
FPTOpenSpeechData_Set002_V0.1_004918.mp3,"Đó là những cầu thủ sáng tạo , đầy khát vọng .",4.944
FPTOpenSpeechData_Set002_V0.1_008170.mp3,Chị Hope của em viết phóng sự bán cho các tạp chí.,3.696
FPTOpenSpeechData_Set001_V0.1_013063.mp3,từ đó tưới xuống bức tượng phật bằng vàng đặt giữa sân chùa,4.39298
FPTOpenSpeechData_Set002_V0.1_001117.mp3,"Sau cái chết của ông , hàng loạt vấn đề sáng tỏ .",5.376
FPTOpenSpeechData_Set001_V0.1_001167.mp3,pháo đài tiền tệ thụy sỹ đối đầu khủng hoảng,4.20098
FPTOpenSpeechData_Set002_V0.1_010277.mp3,"Trận lũ này đã quét toàn bộ giấy tờ , tài sản ít ỏi của gia đình .",5.136
FPTOpenSpeechData_Set002_V0.1_001353.mp3,"Từ đó tôi bị cấm đoán , đi đâu ba tôi cũng áp giải đi bên .",6.024
FPTOpenSpeechData_Set002_V0.1_011648.mp3,tôi muốn xem vở opera nổi tiếng nhất bây giờ,4.464
FPTOpenSpeechData_Set002_V0.1_008161.mp3,Arsenal sẽ vất vả để duy trì vị trí trong tốp 4.,3.864
FPTOpenSpeechData_Set001_V0.1_009414.mp3,nhà hàng mà hai vợ chồng tổng thống nga ghé dùng bữa rất đông khách,5.18498
FPTOpenSpeechData_Set001_V0.1_005896.mp3,anh cho tôi biết họ đang thông báo gì trên P.A. được không,5.01698
FPTOpenSpeechData_Set002_V0.1_011614.mp3,"Riêng cách sống thì có người hướng ngoại , muốn mình nổi bật trước đám đông .",4.224
FPTOpenSpeechData_Set002_V0.1_005529.mp3,"Song , giao dịch ở nhóm này liên tục sôi động , nườm nượp người mua kẻ bán .",4.584
FPTOpenSpeechData_Set002_V0.1_006450.mp3,"Chẳng hạn độ cao , độ trầm , sự tinh tế , hay là sự thu hút .",4.944
FPTOpenSpeechData_Set002_V0.1_000949.mp3,"Suốt ngày chỉ ngồi lang thang tán chuyện , đàn đúm , ăn nhậu .",4.536
FPTOpenSpeechData_Set001_V0.1_013007.mp3,mỗi lần nhận được những con cá mắt đỏ mực còn nguyên đầu béo mũm tươi rói là cả gia đình lại có bữa ngon nhẵn bát,6.62694
FPTOpenSpeechData_Set001_V0.1_013605.mp3,nhiều phép màu tương tự tiếp tục diễn ra,3.69698
FPTOpenSpeechData_Set002_V0.1_000843.mp3,"Suốt cuộc đời lao động nghệ thuật , hội họa với ông là một niềm hoài cổ .",4.776
FPTOpenSpeechData_Set001_V0.1_003867.mp3,trong khi đó Croatia không có may mắn như vậy,4.92098
FPTOpenSpeechData_Set002_V0.1_002673.mp3,"Sau đó , ông về ở tại quê nhà đến ngày nay .",4.296
FPTOpenSpeechData_Set002_V0.1_004386.mp3,"Vợ tôi bị tâm thần , không thể trông bé .",3.624
FPTOpenSpeechData_Set002_V0.1_011622.mp3,"Anh cứ đóng cửa ở trong nhà suốt , không đi thăm hỏi , chúc Tết bà con .",4.464
FPTOpenSpeechData_Set002_V0.1_005228.mp3,"Tin tưởng , trung thành , và một quyết định có thể yên tâm .",3.696
FPTOpenSpeechData_Set002_V0.1_008997.mp3,làm chiếc túi này mất bao lâu nó sẽ được hoàn thành trong một tuần chứ,4.704
FPTOpenSpeechData_Set002_V0.1_004801.mp3,"Vậy là dù chuẩn bị rất kỹ , cô cũng phải vượt cạn một mình .",6.168
FPTOpenSpeechData_Set001_V0.1_001476.mp3,có phải những cục mụn sưng tấy đỏ ở nách hoặc những vùng có lông khác không,4.75298
FPTOpenSpeechData_Set002_V0.1_000759.mp3,"Chúng có hát hay không , tôi không biết .",6.744
FPTOpenSpeechData_Set001_V0.1_000142.mp3,không tôi luôn tỉ mỉ,3.81698
FPTOpenSpeechData_Set002_V0.1_003899.mp3,"Phi hành , xào tôm , cà rốt , đậu , đảo đều , nêm gia vị .",4.224
FPTOpenSpeechData_Set001_V0.1_002093.mp3,cả thế giới túc cầu đang nóng lòng chờ ông vua ghi bàn mới trừ một vài người đức,3.81698
FPTOpenSpeechData_Set002_V0.1_000485.mp3,ấp ủ mầm non hi vọng để đợi một ngày mưa lộp rộp gieo vần,4.213
FPTOpenSpeechData_Set002_V0.1_006583.mp3,"Xin ông cho biết , quy định này có những điểm gì mới ?",5.784
FPTOpenSpeechData_Set002_V0.1_005537.mp3,"Tuy nhiên , thức ăn cá rồng thích nhất là sâu , gián và thạch sùng .",4.464
FPTOpenSpeechData_Set001_V0.1_002548.mp3,hoa không nở kịp tết thì xem như tết cũng không đến với người trồng hoa,6.00098
FPTOpenSpeechData_Set002_V0.1_002814.mp3,"Bạn sẽ thấy một bảng Action trong danh sách, nằm ở phía phải.",4.152
FPTOpenSpeechData_Set001_V0.1_012561.mp3,ả thoắt trở nên khó hiểu lầm lì và nung nấu một âm mưu -N ác,5.11298
FPTOpenSpeechData_Set001_V0.1_003920.mp3,có xe buýt nào chạy thẳng đến văn phòng USAid không,4.29698
FPTOpenSpeechData_Set002_V0.1_000112.mp3,tấm bùa hộ mệnh viết bằng chữ Hy Lạp đọc xuôi ngược đều giống nhau,4.536
FPTOpenSpeechData_Set001_V0.1_008503.mp3,đó là những người chết khi chưa tới số,3.67298
FPTOpenSpeechData_Set002_V0.1_000858.mp3,"Tuy nhiên , ông Hoàng không có bằng Đại học .",3.624
FPTOpenSpeechData_Set002_V0.1_004011.mp3,tôi không biết sử dụng điện thoại như thế nào xin hãy chỉ cho tôi,5.424
FPTOpenSpeechData_Set002_V0.1_010943.mp3,"Năm người không quen biết đến công sở , bước vào thang máy .",3.864
FPTOpenSpeechData_Set001_V0.1_005290.mp3,khuyến cáo chọn ấm của tiến sĩ khải,4.24898
FPTOpenSpeechData_Set002_V0.1_003511.mp3,"Chưa hết , trên xe còn có chân chống như xe máy .",4.944
FPTOpenSpeechData_Set002_V0.1_002648.mp3,"Phương pháp này ngày càng trở nên phổ biến , đặc biệt trong lĩnh vực máy tính .",4.056
FPTOpenSpeechData_Set001_V0.1_012648.mp3,dưới thời tiết nóng như đổ lửa kèm theo áp lực của một cuộc so tài với tính chất quan,5.76098
FPTOpenSpeechData_Set001_V0.1_003206.mp3,Đảng này tìm kiếm sự ủng hộ của tất cả các cộng đồng chứ không nghiêng về phe tin lành hay công giáo,4.87298
FPTOpenSpeechData_Set001_V0.1_006192.mp3,khán giả sẽ ngỡ ngàng với một tăng thanh hà hoàn toàn khác biệt,3.76898
FPTOpenSpeechData_Set002_V0.1_000161.mp3,Bị đánh chết khi ăn trộm nhựa thông,4.344
FPTOpenSpeechData_Set001_V0.1_011201.mp3,những năm trước doanh số tăng trưởng mạnh nhờ những mẫu xe tiết kiệm nhiên liệu giá cả thấp,4.86294
FPTOpenSpeechData_Set002_V0.1_004669.mp3,"Năng lực học tập của Sơn rất tốt , em rất chịu khó học tập .",5.52
FPTOpenSpeechData_Set002_V0.1_004435.mp3,"Đôi khi , đối phương chỉ muốn được một mình yên tĩnh .",5.376
FPTOpenSpeechData_Set001_V0.1_011274.mp3,lễ hội văn hóa du lịch Việt Đức cơ hội thu hút du khách Đức,4.80098
FPTOpenSpeechData_Set001_V0.1_008181.mp3,đừng bao giờ phê phán chàng trai hay biểu lộ sự khó chịu không bằng lòng từ phía bạn,6.43298
FPTOpenSpeechData_Set002_V0.1_003026.mp3,"Nhưng chất lượng saloon tương đối đảm bảo, vì xe xấu họ sẽ không mua.",5.736
FPTOpenSpeechData_Set002_V0.1_000728.mp3,"Cộng thêm sự kết tội của bản thân , tôi thấy ngạt thở .",4.104
FPTOpenSpeechData_Set002_V0.1_003258.mp3,vui lòng cấp cho tôi một báo cáo về trộm cắp,5.784
FPTOpenSpeechData_Set002_V0.1_002705.mp3,"Sau những ngày tháng đọa đầy , còn lại gì cho tương lai của em ?",4.392
FPTOpenSpeechData_Set002_V0.1_000016.mp3,đừng có tòm tem nhăng nhít vớ vẩn để xấu mặt mọi người,4.176
FPTOpenSpeechData_Set002_V0.1_009617.mp3,"Toàn nhớ đâu nói đấy , để rượu được gắn liền .",3.936
FPTOpenSpeechData_Set002_V0.1_003613.mp3,"Bao năm qua , họ chỉ thấy cảnh chị em Hai , Muội sống ở đó .",6.144
FPTOpenSpeechData_Set002_V0.1_003361.mp3,tôi e rằng những ngày đó là những ngày lễ toàn quốc tại nhật,5.136
FPTOpenSpeechData_Set002_V0.1_010540.mp3,"Nhưng cuộc sống là vậy , có thăng có trầm như đồ thị hình sin .",6.384
FPTOpenSpeechData_Set002_V0.1_010881.mp3,"Mẫu hồ sơ nếu không đủ , cháu có thể khai tràn sang bên cạnh .",4.656
FPTOpenSpeechData_Set001_V0.1_005812.mp3,chính vì thế tôi đầu tư sang kinh doanh,4.12898
FPTOpenSpeechData_Set002_V0.1_004756.mp3,chúng tôi có phải thế chấp cho khoản vay này không,3.6
FPTOpenSpeechData_Set001_V0.1_003958.mp3,bà vừa mất tối hôm qua và chúng tôi đã quyết định sẽ đưa ông vào viện dưỡng lão,6.02498
FPTOpenSpeechData_Set001_V0.1_001428.mp3,trước đó anh ta cũng đã làm thủ tục để kết hôn với một cô gái khác trong làng,5.44898
FPTOpenSpeechData_Set002_V0.1_007200.mp3,"Thậm chí , lương chúng tôi so với hợp đồng gấp đôi .",5.736
FPTOpenSpeechData_Set001_V0.1_006896.mp3,một nhà khí tượng học mỹ đã thực hiện phép ước lượng đó,4.63298
FPTOpenSpeechData_Set002_V0.1_009436.mp3,"Chỉ kêu cứu được vài tiếng , người vợ ngất lịm .",4.176
FPTOpenSpeechData_Set002_V0.1_010122.mp3,"Tuy nhiên , thị trường bắt đầu ngóc lên vào giữa phiên .",4.056
FPTOpenSpeechData_Set001_V0.1_004223.mp3,quý khách phải ghi địa chỉ hoặc tên khách sạn mà quý khách sẽ ở lại và cho biết thời gian quý khách dự định ở tại đó,6.24098
FPTOpenSpeechData_Set002_V0.1_008544.mp3,Chờ đợi tin người thân tại sân bay Kuala Lumpur.,4.08
FPTOpenSpeechData_Set001_V0.1_006937.mp3,tôi muốn biết tôi có thể trả tiền ở quầy thu ngân hay ngay tại bàn này,4.65698
FPTOpenSpeechData_Set001_V0.1_012022.mp3,gần một phần tư dân số pháp hút thuốc,4.48898
FPTOpenSpeechData_Set002_V0.1_007342.mp3,đừng lo lắng chúng tôi sẽ thông báo điều đó,5.76
FPTOpenSpeechData_Set001_V0.1_008073.mp3,mình vội vàng tăng ga phóng về giảng võ không tắc thế mới xuân,4.00898
FPTOpenSpeechData_Set002_V0.1_008662.mp3,Civic này có thắng tay đâu mà co chân lên kéo.,4.896
FPTOpenSpeechData_Set002_V0.1_007307.mp3,"Khi lùng sục không thấy gì , chúng bỏ đi .",4.392
FPTOpenSpeechData_Set002_V0.1_005460.mp3,lẽ ra công ty của bạn phải quan tâm tới giá cả,4.416
FPTOpenSpeechData_Set002_V0.1_003616.mp3,"Trong nhiều trường hợp , bóng dáng dòng họ bao trùm lên làng xã .",5.304
FPTOpenSpeechData_Set002_V0.1_005370.mp3,"Chân phanh to bản và chân ga vừa phải , cảm giác ngồi sau cũng không quá chật trội .",5.976
FPTOpenSpeechData_Set002_V0.1_009712.mp3,"Những tuyến phố chính như Mai Dịch , Phạm Hùng , Lê Đức Thọ , đại lộ Thăng Long .",5.256
FPTOpenSpeechData_Set002_V0.1_009483.mp3,"Tuyến đường còn nhiều tiềm năng về thủy lợi , năng lượng và đặc biệt là du lịch .",5.304
FPTOpenSpeechData_Set002_V0.1_001408.mp3,"Thiệt hại về dịch là rất lớn , đã hiện hữu .",4.224
FPTOpenSpeechData_Set002_V0.1_003182.mp3,"Cầu thì có thể dự báo , nhưng cung rất khó .",5.352
FPTOpenSpeechData_Set002_V0.1_011367.mp3,"Trong khi đó , tại Thanh Hóa , nhiều nơi đã có mưa to đến rất to .",4.104
FPTOpenSpeechData_Set001_V0.1_010239.mp3,không phải người phụ nữ nào cũng được trời phú cho một làn da trắng đẹp,4.63298
FPTOpenSpeechData_Set002_V0.1_000527.mp3,"Nếu trễ nữa , bánh nhau sẽ bị thoái hóa , không còn dinh dưỡng để nuôi thai nhi .",4.824
FPTOpenSpeechData_Set001_V0.1_006135.mp3,lương tâm cũng không tự dằn vặt cấu xé vì tự thân họ cũng cho việc sính phở là chuyện không có gì mà ầm ĩ,6.24098
FPTOpenSpeechData_Set002_V0.1_001663.mp3,"Rồi những vỏ chuối , vỏ kẹo , đầu mẩu thuốc lá và .",4.656
FPTOpenSpeechData_Set002_V0.1_001130.mp3,"Ông cho biết thêm , tổng lượng dầu tràn đang được tính toán .",5.424
FPTOpenSpeechData_Set001_V0.1_000426.mp3,được rồi chút nữa tôi sẽ massage cho ngài chỗ khác,4.12898
FPTOpenSpeechData_Set002_V0.1_008707.mp3,"Mỹ thử bom nguyên tử, cả tin và Adenauer nữa.",5.832
FPTOpenSpeechData_Set001_V0.1_007079.mp3,cuộc khủng hoảng tài chính tại mỹ đã khiến hàng hoạt ngân hàng phải đóng cửa,4.94498
FPTOpenSpeechData_Set002_V0.1_009434.mp3,"Sau khi dùng , đậy nút lọ thuốc càng nhanh càng tốt .",4.176
FPTOpenSpeechData_Set002_V0.1_004633.mp3,"Nghĩa thích phim tình cảm , phim tâm lý .",4.224
FPTOpenSpeechData_Set002_V0.1_002924.mp3,"Jim Pearson ngồi đó, tự xỉ vả mình về những việc đã làm.",4.536
FPTOpenSpeechData_Set002_V0.1_001930.mp3,"Đã quá trưa vẫn chưa thấy con gái về , chị Gái mới hốt hoảng đi tìm .",6.024
FPTOpenSpeechData_Set001_V0.1_010970.mp3,ở cái lúc gần đất xa trời người ta mới thấy quý cuộc sống,4.22498
FPTOpenSpeechData_Set002_V0.1_007523.mp3,"Cô ngỡ ngàng trước sự náo nhiệt , sầm uất của phố phường Hà Nội .",4.824
FPTOpenSpeechData_Set001_V0.1_010119.mp3,các biện pháp phục hồi làn da mệt mỏi là gì thưa tiến sĩ,4.58498
FPTOpenSpeechData_Set002_V0.1_002597.mp3,"Khán giả dù không đông như buổi khai mạc , nhưng hai bờ sông Hàn vẫn ít chỗ trống .",4.968
FPTOpenSpeechData_Set001_V0.1_003291.mp3,thấy trung nẹt pô xe gắn máy ngang qua mặt sơn khó chịu nên đã xảy ra lời qua tiếng lại,5.68898
FPTOpenSpeechData_Set002_V0.1_001688.mp3,"Trời rét , có nơi rét đậm , vùng núi rét hại .",4.104
FPTOpenSpeechData_Set002_V0.1_010515.mp3,"Tôi cũng không hiểu sao mình cứ làm tới , như để cho người ta ghét vậy đó .",5.592
FPTOpenSpeechData_Set002_V0.1_009059.mp3,"Có người có máy tính bàn , có người có máy tính xách tay .",4.896
FPTOpenSpeechData_Set002_V0.1_005780.mp3,"Bởi vậy , không bao giờ là không có cơ hội .",4.944
FPTOpenSpeechData_Set002_V0.1_005283.mp3,"Hàng nghìn cây giống thông thường như bạch đàn , keo , ổi mận , chanh .",4.704
FPTOpenSpeechData_Set002_V0.1_002375.mp3,"Chết là hết , còn sống được là mừng , nên tôi phải sống lạc quan , yêu đời .",5.568
FPTOpenSpeechData_Set002_V0.1_000426.mp3,Hai thanh niên sún răng hát nhép,3.685
FPTOpenSpeechData_Set001_V0.1_010886.mp3,anh có thể nhanh chóng đi đến sân bay Heathrow không,5.13698
FPTOpenSpeechData_Set001_V0.1_006866.mp3,đặc biệt cần nâng cao trình độ nhận thức cũng như cách truyền đạt cho đội ngũ báo cáo viên,5.66498
FPTOpenSpeechData_Set001_V0.1_011599.mp3,tai tôi cảm giác như bị xung huyết và tôi chỉ có thể nghe mình nói,3.76898
FPTOpenSpeechData_Set002_V0.1_001595.mp3,"Khi đã đi được một đoạn đường xa , chân tay tôi vẫn còn run lẩy bẩy .",6.696
FPTOpenSpeechData_Set002_V0.1_004906.mp3,"Xem ra , nước mình tụt lại đằng sau xa lắm .",3.672
FPTOpenSpeechData_Set001_V0.1_001086.mp3,lòng trắng trứng gà sẽ giúp se khít lỗ chân lông làn da trở nên sáng đẹp mịn,5.25698
FPTOpenSpeechData_Set002_V0.1_009983.mp3,"Tại cơ quan điều tra , tên này khai là Hà Trọng Đắc , quê ở Hải Dương .",4.368
FPTOpenSpeechData_Set002_V0.1_010255.mp3,Orhan Pamuk nhận giải thưởng văn hóa Đan Mạch,4.656
FPTOpenSpeechData_Set002_V0.1_006696.mp3,"Không chỉ mua về chưng , nhiều người còn mua làm quà tặng , biếu trong dịp tết .",5.616
FPTOpenSpeechData_Set002_V0.1_000054.mp3,Bao lâu thì hết thời hạn đòi nợ -N,4.776
FPTOpenSpeechData_Set001_V0.1_006513.mp3,vui lòng chỉ cho tôi đường đi đến Broadway ra sao,3.88898
FPTOpenSpeechData_Set002_V0.1_011635.mp3,tôi có sự chuyển tiếp chuyến bay của hãng delta hai một năm,5.784
FPTOpenSpeechData_Set001_V0.1_001069.mp3,ông có thể đi bộ hoặc đi tàu điện ngầm đây là bản đồ tuyến tàu điện ngầm,6.48098
FPTOpenSpeechData_Set002_V0.1_003395.mp3,"Thực tế , giá dầu đang trên đà tăng giá .",4.248
FPTOpenSpeechData_Set002_V0.1_005466.mp3,"Ra nhiều rỉ , đặc biệt về sáng khiến mi bị dính chặt , rất khó mở mắt .",4.704
FPTOpenSpeechData_Set001_V0.1_006404.mp3,xăng tự lo xước sơn móp xe côn số có vấn đề phải đền,5.20898
FPTOpenSpeechData_Set002_V0.1_001232.mp3,"Ở các chợ lẻ , gạo Thái Lan phong phú hơn cả .",4.104
FPTOpenSpeechData_Set001_V0.1_004638.mp3,nói theo cách khác nhện cái không ưa gì những anh chàng lạ mắt,4.39298
FPTOpenSpeechData_Set002_V0.1_004092.mp3,"Nếu cụ ông đói , cô cho uống ít nước cháo .",4.56
FPTOpenSpeechData_Set002_V0.1_009074.mp3,"Chiến lược của tôi vì vậy , nếu có , chính là sự chân thành mà thôi .",5.376
FPTOpenSpeechData_Set002_V0.1_009248.mp3,"Tuy nhiên , theo ghi nhận của phóng viên , phản ứng của chính quyền địa phương quá chậm .",5.712
FPTOpenSpeechData_Set002_V0.1_001471.mp3,"Bên cạnh đó , chú ý phát triển các dịch vụ đi kèm , ông Thái cho biết .",4.824
FPTOpenSpeechData_Set002_V0.1_011059.mp3,"Tôi thích cô từ cách cô nhướn mày , nhăn trán và cả điệu bộ đi đứng .",5.256
FPTOpenSpeechData_Set002_V0.1_006304.mp3,"Thực ra hiện nay , không còn ai sống hoàn toàn truyền thống nữa .",3.984
FPTOpenSpeechData_Set001_V0.1_013599.mp3,các ứng viên tổng thống nga có bao nhiêu tiền,4.48898
FPTOpenSpeechData_Set002_V0.1_002460.mp3,"Đà Nẵng đến Bình Thuận nhiều mây , có mưa , có nơi mưa vừa và dông .",4.896
FPTOpenSpeechData_Set002_V0.1_007496.mp3,hãy đến sảnh khởi hành quốc tế chúc một chuyến đi tốt lành,5.856
FPTOpenSpeechData_Set001_V0.1_001989.mp3,nên rốt cục bộ phải tuyên bố dự án tốt đẹp ấy bị phá sản,4.68098
FPTOpenSpeechData_Set001_V0.1_012083.mp3,theo qui định người dân được ghi nợ tiền sử dụng đất khi cấp giấy chủ quyền,5.61698
FPTOpenSpeechData_Set002_V0.1_005960.mp3,"Thà rằng mua được ở khu trung tâm , chỗ tốt thì đắt vẫn hơn .",3.984
FPTOpenSpeechData_Set002_V0.1_001187.mp3,"Cháu là bị hại , sao lại gọi cháu là bị can ?",4.104
FPTOpenSpeechData_Set002_V0.1_007380.mp3,"Để hạn chế , khi ngủ ngày cần nằm trong phòng tối .",5.856
FPTOpenSpeechData_Set002_V0.1_000926.mp3,"Ngoài ra , đội ngũ cán bộ trẻ cũng còn thiếu nhiều .",4.296
FPTOpenSpeechData_Set002_V0.1_009085.mp3,"Điều ấy hóa ra lại tốt , vì cô không thấy mình bị áp lực gì .",5.496
FPTOpenSpeechData_Set002_V0.1_002568.mp3,Cặp đôi vui vẻ chụp ảnh cùng một fan vô tình bắt gặp họ trên đường.,5.088
FPTOpenSpeechData_Set002_V0.1_010364.mp3,"Hậu quả , anh Sáu bị gãy cổ chết ngay tại chỗ .",4.392
FPTOpenSpeechData_Set002_V0.1_007528.mp3,"Tuy nhiên , rút cuộc điều gì phải đến cũng đến .",3.864
FPTOpenSpeechData_Set001_V0.1_009409.mp3,ngăn nguy cơ tăng giá xăng trong dịp lễ,4.10498
FPTOpenSpeechData_Set002_V0.1_010187.mp3,tôi e rằng cái này không thể thỏa mãn tôi,3.744
FPTOpenSpeechData_Set002_V0.1_010172.mp3,tôi rất vui khi có thể quên đi chuyện công việc,4.392
FPTOpenSpeechData_Set002_V0.1_003006.mp3,"Tại buổi họp toàn đội trước trận , Lương đã xung phong đá chính .",3.624
FPTOpenSpeechData_Set002_V0.1_001882.mp3,"Di chứng để lại quá nặng nề , Thăng bị bại liệt nằm một chỗ từ đấy .",4.464
FPTOpenSpeechData_Set002_V0.1_001462.mp3,"Và khi ở bên cạnh những người như thế , họ thấy mình có ý nghĩa và cần thiết .",4.704
FPTOpenSpeechData_Set002_V0.1_009487.mp3,"Máy quay phim nhựa , bàn dựng phim nhựa , kinh phí làm bài tập phim nhựa không có .",5.976
FPTOpenSpeechData_Set002_V0.1_002128.mp3,"Cô đã bị bạn trai chia tay , trước đó cô còn trượt đại học .",4.032
FPTOpenSpeechData_Set001_V0.1_008662.mp3,những bộ não chỉ giảm hoạt động về đêm sẽ suy nghĩ hiệu quả triển vọng và dẫn đầu cả đội,5.83494
FPTOpenSpeechData_Set002_V0.1_004940.mp3,"Chương trình không hạn chế số lượt khách hàng , không hạn chế số quà khuyến mại .",6.216
FPTOpenSpeechData_Set002_V0.1_011679.mp3,"Của hiếm là của quý đấy , nhớ mà bảo vệ kẻo nó tuyệt chủng !",4.704
FPTOpenSpeechData_Set001_V0.1_013576.mp3,gấu trúc ưa sống đơn độc trên những dãy núi cao và các thung lũng sâu,4.94498
FPTOpenSpeechData_Set002_V0.1_005005.mp3,"Phía Đông Bắc Bộ ngày nắng , đêm có mưa rào và dông vài nơi .",5.304
FPTOpenSpeechData_Set002_V0.1_009650.mp3,"Nó sống riêng , tôi khuyên bảo nó hoài mà nó không nghe .",5.304
FPTOpenSpeechData_Set002_V0.1_002831.mp3,"Tổ công tác nhanh chóng bắt giữ tên Hòa , dẫn giải xuống núi .",3.768
FPTOpenSpeechData_Set002_V0.1_011271.mp3,bạn có chỗ nào mà tôi có thể để hành lý của tôi không,5.544
FPTOpenSpeechData_Set002_V0.1_009552.mp3,"Hà Nội không còn cái dáng cổ kính , bình yên của ngày xưa .",4.656
FPTOpenSpeechData_Set002_V0.1_003033.mp3,"Nhưng tất cả chúng đều không chính xác , tất chúng đều chỉ là dự đoán .",4.32
FPTOpenSpeechData_Set002_V0.1_010713.mp3,"Khi đó , mọi mệt mỏi tôi đều thấy tan biến .",4.224
